Identifier, Property    (T/K), Value (J K-1 mol-1),"		 Std"," 	N",    Name,    Reference    ,"	              Comment"
1,385.27,290.89,7.9,     ,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
2,386.25,291.23,7.6,     ,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
3,387.24,291.57,7.24,     ,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
4,388.23,291.92,6.96,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
5,389.21,292.26,6.61,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
6,390.2,292.6,6.35,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
7,391.18,292.94,6.09,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
8,392.17,293.28,5.87,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
9,393.15,293.62,5.53,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
10,394.14,293.96,5.31,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
11,395.12,294.3,5.06,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
12,396.11,294.64,4.73,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
13,397.09,294.98,4.51,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
14,398.08,295.33,4.23,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
15,399.06,295.67,3.92,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
16,400.05,296.01,3.71,,"Cryst. Growth Des. 2017, 17, 1918-1932",https://doi.org/10.1021/acs.cgd.6b01876,DSC 204 F1-Phoenix from Netzsch
