HIQQAB06,,,,,,,
Identifier, Property, Value (K),		Std, 	N,   Name, Reference    , Comment
1, Melting Point, 482.98, , , Pop, Pop_2024_COST_data, 10 K/Min
2, Melting Point, 486.43, , , Pop, Pop_2024_COST_data, 30 K/Min
3, Melting Point, 486.63, , , Pop, Pop_2024_COST_data, 30 K/Min
4, Melting Point, 487.85, , , Pop, Pop_2024_COST_data, 40 K/Min
5, Melting Point, 488.19, , , Pop, Pop_2024_COST_data, 40 K/Min
6, Melting Point, 481.35, , , Piedade, COST, DSC 10 K/min
7, Melting Point, 481.37, , , Piedade, COST, DSC 10 K/min
8, Melting Point, 481.26, , , Piedade, COST, DSC 10 K/min
9, Melting Point, 481.02, , , Piedade, COST, DSC 10 K/min
10, Melting Point, 481.32, , , Piedade, COST, DSC 10 K/min
11, Melting Point, 480.61, , , Piedade, COST, DSC 2.5 K/min
