SANBAN,,,,,,,
Identifier,Property,Value (J/molK),Std,N,Name,Comment,Reference
1,Heat capacity at 240 K,215.2,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
2,Heat capacity at 245 K,219.4,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
3,Heat capacity at 250 K,223.7,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
4,Heat capacity at 255 K,227.9,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
5,Heat capacity at 260 K,232.1,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
6,Heat capacity at 265 K,236.2,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
7,Heat capacity at 270 K,240.5,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
8,Heat capacity at 275 K,244.8,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
9,Heat capacity at 280 K,249.2,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
10,Heat capacity at 285 K,253.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
11,Heat capacity at 290 K,257.9,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
12,Heat capacity at 295 K,262.3,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
13,Heat capacity at 300 K,266.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
14,Heat capacity at 305 K,270.9,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
15,Heat capacity at 310 K,275.3,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
16,Heat capacity at 315 K,279.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
17,Heat capacity at 320 K,284.0,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
18,Heat capacity at 325 K,288.3,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
19,Heat capacity at 330 K,292.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
20,Heat capacity at 335 K,297.0,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
21,Heat capacity at 340 K,301.3,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
22,Heat capacity at 345 K,305.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
23,Heat capacity at 350 K,309.9,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
24,Heat capacity at 307.70 K,270.79,,,Rekis_17,,10.1021/acs.cgd.6b01867
25,Heat capacity at 315.73 K,279.28,,,Rekis_17,,10.1021/acs.cgd.6b01867
26,Heat capacity at 323.72 K,285.27,,,Rekis_17,,10.1021/acs.cgd.6b01867
27,Heat capacity at 331.72 K,292.09,,,Rekis_17,,10.1021/acs.cgd.6b01867
28,Heat capacity at 339.71 K,302.68,,,Rekis_17,,10.1021/acs.cgd.6b01867
29,Heat capacity at 347.71 K,309.05,,,Rekis_17,,10.1021/acs.cgd.6b01867
30,Heat capacity at 355.71 K,316.90,,,Rekis_17,,10.1021/acs.cgd.6b01867
31,Heat capacity at 363.70 K,322.83,,,Rekis_17,,10.1021/acs.cgd.6b01867
32,Heat capacity at 371.70 K,330.52,,,Rekis_17,,10.1021/acs.cgd.6b01867
